rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id
3,25,0:08:35,12886.0,2,1,Kento MOMOTA,2,接殺防守,0,0,2.0,8,503.0,579.0,1.0,5,96.16677421215061,345.748271840308,,,,,8.0,-0.2386581702126307,1.2362260181325002,3.0,-1.4573626015825918,-1.5083096895027992,0,1,1,2
3,26,0:08:36,12913.0,2,1,CHOU Tien Chen,2,推撲球,0,0,2.0,5,505.0,390.0,1.0,9,240.37445342870575,768.7516980024758,,,,,8.0,-0.6944852389371915,-0.641763327791752,8.0,-0.5160610335496288,1.1208698334801774,0,1,1,2
3,27,00:08:37,12942.0,2,1,Kento MOMOTA,3,切球,0,1,2.0,9,781.0,638.0,2.0,2,263.22130508091834,497.74576652494005,掛網,對手掛網,B,,6.0,0.9349354272401904,1.5092855525996995,8.0,0.33963112173799664,-1.0021940377416838,0,1,1,2
4,1,0:08:57,13434.0,3,1,CHOU Tien Chen,1,發短球,0,1,2.0,7,,,1.0,8,120.39534244512834,599.3277656762031,,,,,8.0,0.14849407873308723,-0.8115260507762526,8.0,-0.4374759701417468,1.0114498091076385,0,1,1,3
4,2,0:08:58,13456.0,3,1,Kento MOMOTA,2,網前球,0,1,1.0,8,533.0,524.0,2.0,5,94.22581765685639,356.548971733457,,,,,8.0,-0.6327900784181432,0.8074982932721415,8.0,-0.027912253927729787,-0.9311187030386906,0,1,1,3
4,3,0:08:59,13478.0,3,1,CHOU Tien Chen,2,網前球,0,0,1.0,5,501.0,395.0,2.0,2,101.20653469721486,544.8903199499031,,,,,7.0,-0.7392012728432246,-0.45248806555185767,8.0,-0.34866508729359746,0.9558247849703712,0,1,1,3
4,4,0:09:00,13502.0,3,1,Kento MOMOTA,2,網前球,0,0,2.0,2,500.0,492.0,1.0,1,93.94793952914883,421.0145826242858,,,,,2.0,-0.9374847732778291,0.5491266936132794,8.0,-0.5290457038160751,-0.6638458825474265,0,1,1,3
4,5,0:09:00,13516.0,3,1,CHOU Tien Chen,2,推撲球,0,0,1.0,1,496.0,426.0,2.0,8,137.27876772977427,618.9552228086404,,,,,7.0,-0.750178454110468,-0.5075128965114919,8.0,-0.6916755921744759,0.6805486172486036,0,1,1,3
4,6,0:09:00,13523.0,3,1,Kento MOMOTA,3,接殺防守,0,1,1.0,8,565.0,536.0,2.0,8,249.74023179671545,222.20850182560437,對手落地致勝,落地致勝,A,,8.0,-0.5857831930539724,0.7658320371195823,1.0,-1.032362781426661,-0.12588498353226552,0,1,1,3
5,1,0:09:16,13923.0,3,2,Kento MOMOTA,1,發短球,0,1,2.0,7,,,2.0,8,223.14828159871485,342.6157583911439,,,,,8.0,-0.09339983546302563,0.842605501916528,8.0,0.7043004510171301,-0.7624253706426677,0,1,1,4
5,2,0:09:17,13947.0,3,2,CHOU Tien Chen,2,推撲球,0,1,2.0,8,719.0,388.0,1.0,9,105.23842576370868,761.0280653112239,,,,,8.0,0.24577310549569845,-0.6152224844958045,8.0,0.07150730136007294,0.9653439889099301,0,1,1,4
5,3,0:09:18,13970.0,3,2,Kento MOMOTA,2,殺球,0,0,1.0,9,490.0,633.0,2.0,8,130.1924048567347,269.15909383445467,,,,,8.0,-0.5348743463240352,1.4973540935272656,8.0,-0.10274814291035045,-1.0040818796456845,0,1,1,4
5,4,0:09:19,13979.0,3,2,CHOU Tien Chen,2,接殺防守,0,0,2.0,8,565.0,356.0,1.0,8,204.1734707306165,706.188974706636,,,,,8.0,-0.2768309561637924,-1.07850054959804,8.0,-0.5365165502316854,1.3756787798565078,0,1,1,4
5,5,0:09:20,14001.0,3,2,Kento MOMOTA,2,殺球,1,0,1.0,8,700.0,593.0,2.0,8,231.40617113399492,265.4591160931929,,,,,8.0,0.20052747317851696,1.3196259672434756,8.0,-0.08021532882021527,-0.9918075747735561,0,1,1,4
5,6,0:09:20,14016.0,3,2,CHOU Tien Chen,2,接殺防守,0,1,2.0,8,729.0,354.0,1.0,8,109.8756738243446,748.892772973919,,,,,8.0,0.3092246698939851,-0.9901474286687509,8.0,0.3402712056121766,1.200438325117874,0,1,1,4
5,7,0:09:21,14044.0,3,2,Kento MOMOTA,2,長球,0,0,2.0,8,501.0,624.0,1.0,3,92.47030223712275,200.6730702143963,,,,,9.0,-0.5984467267665446,1.5670141350590612,8.0,-0.05775371457488458,-1.0038898671034016,0,1,1,4
5,8,0:09:22,14070.0,3,2,CHOU Tien Chen,2,殺球,0,0,1.0,3,508.0,328.0,2.0,8,117.03420411990236,653.3588947832761,,,,,5.0,-1.119231893802613,-1.3484625800751033,8.0,-0.24508572573393703,1.2135776912712057,0,1,1,4
5,9,0:09:23,14083.0,3,2,Kento MOMOTA,2,接殺防守,0,0,1.0,8,523.0,558.0,2.0,8,110.92738875346743,343.7125312892864,,,,,8.0,-0.3629379186257314,1.2207291029971319,5.0,-0.9237774049573495,-1.2318308981814996,0,1,1,4
5,10,0:09:24,14107.0,3,2,CHOU Tien Chen,2,挑球,0,0,2.0,8,530.0,389.0,1.0,9,105.06377230517127,778.2698701995237,,,,,8.0,-0.677717716527797,-0.7218318145910212,8.0,-0.29804630536589977,1.0198700083973602,0,1,1,4
5,11,0:09:25,14136.0,3,2,Kento MOMOTA,2,長球,0,0,2.0,9,488.0,646.0,1.0,9,242.2247824179587,202.21928934291907,,,,,9.0,-0.69456055404789,1.566696718767594,8.0,-0.1988497061305334,-0.907851479276486,0,1,1,4
5,12,0:09:26,14170.0,3,2,CHOU Tien Chen,2,切球,0,1,1.0,9,743.0,328.0,2.0,8,247.30381958840903,606.9488581234218,,,,,8.0,0.2977047002197142,-1.329253581778077,8.0,0.2591664636766974,1.1543698931919568,0,1,1,4
5,13,0:09:27,14188.0,3,2,Kento MOMOTA,2,推撲球,0,1,2.0,8,780.0,528.0,1.0,6,254.22285328957096,204.85312738832562,,,,,8.0,0.6891706911750525,0.9995051938377054,8.0,0.3437675297198764,-1.1130554826577133,0,1,1,4
5,14,0:09:28,14208.0,3,2,CHOU Tien Chen,2,殺球,1,0,2.0,6,762.0,329.0,1.0,8,130.04364478349095,674.726712505956,,,,,9.0,0.9130038552254343,-1.3786552688086182,8.0,0.3231399232875997,1.0536157027485362,0,1,1,4
5,15,0:09:28,14224.0,3,2,Kento MOMOTA,2,接殺防守,0,0,2.0,8,548.0,572.0,1.0,7,116.94020237482914,367.46522160459506,,,,,8.0,0.06359498265212433,1.0996210898798253,6.0,0.9846565433836981,-1.2362578601632557,0,1,1,4
5,16,0:09:29,14245.0,3,2,CHOU Tien Chen,3,推撲球,0,0,2.0,7,539.0,400.0,1.0,4,94.01269604655728,778.1849494999686,對手落地致勝,落地致勝,B,,7.0,-0.31445766840995204,-0.505735054644429,8.0,-0.28862927650586645,1.1370958132630662,0,1,1,4
6,1,0:09:57,14943.0,4,2,CHOU Tien Chen,1,發長球,0,1,2.0,7,,,1.0,8,234.35999187352283,734.7309992148249,,,,,8.0,-0.16776500160780505,-0.7894074498459543,8.0,0.6810427768129911,1.0233047326647153,0,1,1,5
6,2,0:09:58,14969.0,4,2,Kento MOMOTA,2,殺球,1,0,1.0,8,765.0,613.0,2.0,8,241.16193289985128,251.28352497767074,,,,,9.0,0.5148377980849268,1.5706907615676737,8.0,0.15102725233201225,-0.9423961767464742,0,1,1,5
6,3,0:09:59,14982.0,4,2,CHOU Tien Chen,2,接殺防守,0,1,2.0,8,744.0,348.0,1.0,5,254.27084794320564,743.1797549706833,,,,,8.0,0.21811380847110992,-0.9421114116921977,8.0,0.48566133605252737,1.415284674792936,0,1,1,5
6,4,0:10:00,15015.0,4,2,Kento MOMOTA,2,殺球,0,0,1.0,5,808.0,619.0,2.0,6,256.0562626155494,309.606131042998,,,,,9.0,0.7492789759655568,1.6536631766755427,8.0,0.1960374712029337,-0.9542691123040212,0,1,1,5
6,5,0:10:01,15035.0,4,2,CHOU Tien Chen,3,網前球,0,1,1.0,6,772.0,373.0,2.0,2,259.03983904116774,471.43980126674904,未過網,對手未過網,A,,8.0,0.8281723736454327,-0.9274887106913043,8.0,0.4444554456982104,1.335167614542329,0,1,1,5
7,1,0:10:14,15374.0,5,2,Kento MOMOTA,1,發短球,0,1,2.0,7,,,2.0,8,151.42771525751127,297.20588003950763,,,,,8.0,0.05434031372213263,0.8760499923035674,8.0,-0.3924485920381718,-0.92065363487428,0,1,1,6
7,2,0:10:15,15387.0,5,2,CHOU Tien Chen,2,推撲球,0,1,2.0,8,599.0,368.0,1.0,9,106.16987787130277,761.0352963904021,,,,,8.0,-0.4347224526294752,-0.6634554599679033,8.0,-0.10489966256974045,0.9727419040247476,0,1,1,6
7,3,0:10:16,15416.0,5,2,Kento MOMOTA,2,切球,0,0,1.0,9,492.0,633.0,2.0,8,116.07436681827971,271.3674412102607,,,,,4.0,-0.8895074813735078,1.5936614712001145,8.0,-0.16208799362821416,-0.94372526986352,0,1,1,6
7,4,0:10:17,15433.0,5,2,CHOU Tien Chen,3,切球,0,0,1.0,8,542.0,357.0,2.0,10,306.3961749277773,599.2663253207282,出界,對手出界,A,,8.0,-0.5704179017988109,-0.9094236688636151,8.0,-0.4681591036859851,1.354050724017054,0,1,1,6
8,1,0:10:32,15804.0,6,2,Kento MOMOTA,1,發短球,0,1,2.0,7,,,1.0,8,206.2451760658645,324.81467906965554,,,,,8.0,-0.10569201513236723,0.8508148464690777,8.0,0.7094979180610216,-0.8327177858804179,0,1,1,7
8,2,0:10:33,15827.0,6,2,CHOU Tien Chen,2,平球,0,1,2.0,8,690.0,380.0,1.0,8,146.00440059135408,656.6694864776238,,,,,8.0,0.29591681650962215,-0.6037256874473469,8.0,0.01700014882517183,0.932918702520853,0,1,1,7
8,3,0:10:33,15840.0,6,2,Kento MOMOTA,2,平球,0,0,2.0,8,581.0,560.0,1.0,8,135.37450606927771,283.2261375492431,,,,,8.0,-0.20662201662010032,1.0596197528683913,8.0,-0.006330274363100776,-0.7537658081720527,0,1,1,7
8,4,0:10:34,15850.0,6,2,CHOU Tien Chen,2,平球,0,0,2.0,8,573.0,362.0,1.0,8,203.18076683908282,633.8242274391101,,,,,8.0,-0.07979676166479174,-0.8478532362784605,8.0,-0.3019567389721911,1.090566084685813,0,1,1,7
8,5,0:10:34,15861.0,6,2,Kento MOMOTA,2,接殺防守,0,1,2.0,8,695.0,545.0,1.0,8,179.18784013603562,344.37273200084724,,,,,8.0,-0.18193468543647973,1.0987669798722084,8.0,-0.020533750692740542,-0.9070969838927937,0,1,1,7
8,6,0:10:35,15881.0,6,2,CHOU Tien Chen,3,推撲球,0,1,2.0,8,645.0,389.0,1.0,10,273.361623655261,826.5265905561276,出界,對手出界,A,,8.0,0.023447625075944972,-0.8238129723896149,8.0,-0.11618006471420156,1.0834154966793559,0,1,1,7
9,1,0:10:50,16253.0,6,3,Kento MOMOTA,1,發短球,0,1,2.0,7,,,1.0,8,146.9241645816844,326.45839062181267,,,,,8.0,0.07302121652607449,0.859690063933486,8.0,-0.3403695064287776,-0.9204330423667105,0,1,1,8
9,2,0:10:50,16270.0,6,3,CHOU Tien Chen,2,網前球,0,1,1.0,8,591.0,381.0,2.0,7,170.3508698110048,543.7433443933382,,,,,8.0,-0.398446055889831,-0.6633053047918178,8.0,-0.11126963269264523,0.9324644850097213,0,1,1,8
9,3,0:10:51,16292.0,6,3,Kento MOMOTA,2,網前球,0,1,1.0,7,630.0,491.0,2.0,8,155.0175768686254,363.56527142608576,,,,,7.0,-0.29983631982285436,0.5249079816699714,8.0,-0.17554132237919148,-0.8246487375226241,0,1,1,8
9,4,0:10:52,16313.0,6,3,CHOU Tien Chen,2,挑球,0,0,2.0,8,604.0,398.0,1.0,8,140.24858169606628,742.2846574615688,,,,,7.0,-0.29989615525932456,-0.4946326018230411,8.0,-0.10667349868781346,0.6997843486837271,0,1,1,8
9,5,0:10:54,16359.0,6,3,Kento MOMOTA,2,切球,0,0,1.0,8,566.0,619.0,2.0,8,140.34345697676008,287.90385129476084,,,,,9.0,-0.3407336958870901,1.6568721656315966,8.0,-0.027988443846966124,-0.8951748595025496,0,1,1,8
9,6,0:10:54,16373.0,6,3,CHOU Tien Chen,2,接殺防守,0,0,1.0,8,581.0,364.0,2.0,7,178.23077418928676,568.0229162882969,,,,,8.0,-0.3390298174006009,-0.8726621249034254,8.0,-0.2183601740527555,1.3621943911419343,0,1,1,8
9,7,0:10:55,16394.0,6,3,Kento MOMOTA,2,挑球,0,1,1.0,7,645.0,505.0,2.0,3,94.01101602788886,190.58070238033082,,,,,8.0,-0.10526660816681395,0.9162763872276951,8.0,-0.16182808500242837,-0.919676790612353,0,1,1,8
9,8,0:10:57,16427.0,6,3,CHOU Tien Chen,2,長球,0,0,2.0,3,511.0,324.0,1.0,8,106.00438071822366,746.131168839821,,,,,9.0,-0.8042807388702878,-1.386227887956179,8.0,-0.2833175587208838,1.1139374926991128,0,1,1,8
9,9,0:10:58,16461.0,6,3,Kento MOMOTA,2,殺球,0,0,1.0,8,493.0,622.0,2.0,5,98.25326616448861,237.78211954806787,,,,,4.0,-0.9134699775887554,1.6819887095243071,8.0,-0.15623703309718348,-1.1027716332654387,0,1,1,8
9,10,0:10:59,16477.0,6,3,CHOU Tien Chen,2,接殺防守,0,0,1.0,5,515.0,343.0,2.0,7,122.04238401261041,529.1718237156097,,,,,8.0,-0.4115176900818182,-1.0421097893403628,8.0,-0.6349650664547662,1.3753465816609907,0,1,1,8
9,11,0:11:00,16500.0,6,3,Kento MOMOTA,2,挑球,0,0,2.0,7,540.0,483.0,1.0,9,105.14374931633351,198.28616806791646,,,,,8.0,-0.6778646647909362,0.697711844667193,8.0,-0.48414189328094925,-0.8024427967014219,0,1,1,8
9,12,0:11:01,16535.0,6,3,CHOU Tien Chen,2,長球,0,0,2.0,9,528.0,327.0,1.0,8,116.25284043014227,743.4704532181811,,,,,9.0,-0.6475146609165865,-1.5047023561047592,8.0,-0.2663901432443343,1.0750796877915068,0,1,1,8
9,13,0:11:02,16571.0,6,3,Kento MOMOTA,2,切球,0,0,1.0,8,515.0,620.0,2.0,8,125.41127227458264,328.4665898620277,,,,,9.0,-0.744377133053937,1.6419884557894981,8.0,-0.06519905390643686,-0.9674724286233213,0,1,1,8
9,14,0:11:03,16588.0,6,3,CHOU Tien Chen,2,挑球,0,0,2.0,8,555.0,382.0,1.0,8,115.90850863715991,733.796637157146,,,,,8.0,-0.4339750054004741,-0.8375254950908767,8.0,-0.3135436689878339,1.2882843361570047,0,1,1,8
9,15,0:11:04,16616.0,6,3,Kento MOMOTA,2,切球,0,0,1.0,8,515.0,613.0,2.0,5,101.36013390390258,308.0848056438416,,,,,8.0,-0.779498213960756,1.503583234754494,8.0,-0.16968308901350673,-0.9558231563929741,0,1,1,8
9,16,0:11:05,16637.0,6,3,CHOU Tien Chen,2,網前球,0,0,1.0,5,516.0,373.0,2.0,7,238.9899600743016,544.344584567355,,,,,8.0,-0.6677575583222048,-0.9218197670080972,8.0,-0.25099248278265057,1.2135573986075283,0,1,1,8
9,17,0:11:06,16657.0,6,3,Kento MOMOTA,2,挑球,0,1,2.0,7,759.0,491.0,1.0,3,90.9043751982465,193.08479483847785,,,,,8.0,0.26982848858065894,0.8686129050608203,8.0,-0.020431510242075762,-0.9431239747829302,0,1,1,8
9,18,0:11:07,16690.0,6,3,CHOU Tien Chen,2,長球,0,0,2.0,3,506.0,325.0,1.0,6,102.05752192119353,741.9848500327209,,,,,9.0,-0.6923183789294358,-1.4648888298112508,8.0,-0.15818054756714092,1.0832691465632134,0,1,1,8
9,19,0:11:09,16726.0,6,3,Kento MOMOTA,2,切球,0,0,1.0,6,485.0,619.0,2.0,5,92.21881084259023,365.0985140411925,,,,,4.0,-1.0347483769477412,1.647826439462089,8.0,-0.1619578886192463,-0.9316870868321366,0,1,1,8
9,20,0:11:09,16744.0,6,3,CHOU Tien Chen,2,網前球,0,0,1.0,5,497.0,399.0,2.0,7,106.97890867782667,557.1106008802941,,,,,8.0,-0.6694570478541702,-0.8267232122473569,8.0,-0.5225530664808444,1.3171701734498555,0,1,1,8
9,21,0:11:10,16772.0,6,3,Kento MOMOTA,2,挑球,0,0,2.0,7,510.0,499.0,1.0,5,102.36709760094561,210.78576550352025,,,,,8.0,-0.7810247587755964,0.7398305431828014,8.0,-0.3900841816633084,-0.8491592088523238,0,1,1,8
9,22,0:11:11,16799.0,6,3,CHOU Tien Chen,3,殺球,0,0,2.0,5,523.0,332.0,1.0,5,251.44528731334174,743.1575737567425,對手落地致勝,落地致勝,B,,9.0,-0.837289384843572,-1.4126317369372092,8.0,-0.23653371593220818,1.0673568688016424,0,1,1,8
10,1,0:11:36,17423.0,7,3,CHOU Tien Chen,1,發短球,0,1,2.0,7,,,2.0,8,122.97185665510784,599.3496744124149,,,,,8.0,0.1627271489852439,-0.7880237279652249,8.0,-0.4492043713885864,1.0193397335867982,0,1,1,9
10,2,0:11:37,17447.0,7,3,Kento MOMOTA,2,挑球,0,1,2.0,8,538.0,524.0,1.0,5,102.28443100598047,208.29133938250385,,,,,8.0,-0.6227210496612477,0.8654304575725978,8.0,-0.10195775388519428,-0.8479465099537187,0,1,1,9
10,3,0:11:39,17477.0,7,3,CHOU Tien Chen,2,切球,0,0,1.0,5,523.0,331.0,2.0,7,228.14270426626834,581.9851668869658,,,,,9.0,-0.5249661767515467,-1.3981079133410574,8.0,-0.18156630800003087,1.122030502728057,0,1,1,9
10,4,0:11:39,17497.0,7,3,Kento MOMOTA,2,網前球,0,1,1.0,7,741.0,513.0,2.0,8,239.25717823927582,340.5848033256132,,,,,8.0,0.24380718996435088,0.9093878134634282,8.0,-0.20201774470939393,-1.1278753179134167,0,1,1,9
10,5,0:11:40,17518.0,7,3,CHOU Tien Chen,2,推撲球,0,1,2.0,8,746.0,387.0,1.0,8,244.50265952802866,730.6313075279924,,,,,8.0,0.5657470335402711,-0.5354097595053373,8.0,0.17993317442241064,1.0056733796171855,0,1,1,9
10,6,0:11:41,17548.0,7,3,Kento MOMOTA,2,切球,0,1,2.0,8,786.0,610.0,1.0,8,232.89405138278767,316.1361881716993,,,,,5.0,1.0916504466144512,1.4886537975304244,8.0,0.4273598913747994,-0.9532861617160163,0,1,1,9
10,7,0:11:42,17558.0,7,3,CHOU Tien Chen,2,平球,0,1,2.0,8,734.0,376.0,1.0,8,116.98314458604779,651.8181970561295,,,,,8.0,0.5744026069360892,-0.9165583223715243,8.0,0.7809037112169287,1.4018548281134773,0,1,1,9
10,8,0:11:42,17573.0,7,3,Kento MOMOTA,2,接殺防守,0,0,2.0,8,523.0,557.0,1.0,8,163.14780907336922,339.8471680743571,,,,,8.0,0.03922736493281701,1.1382315507548892,8.0,0.17287264204904076,-0.9182590915148809,0,1,1,9
